Title,Agency,EmploymentType,PayBand,HiringRange,RecruitmentType,Status,ClosingDate,LocationGeneral,LocationDetail,Link,DateFirstRetrieved
Chief of Housing and Programs Manager: Virginia Corr Ctr For Women #01144,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$54,359 - $89,148",Agency Employee Only - A,Open,2023-03-17T23:55:00Z,Goochland,Virginia Corr Ctr For Women,https://www.jobs.virginia.gov/jobs/chief-of-housing-and-programs-manager-virginia-corr-ctr-for-women-01144-goochland-virginia-united-states,2023-03-04
Maintenance Operator - Shipman AHQ,VA Department of Transportation,Full-Time (Salaried),NA,"$33,005 - $53,633",General Public - G,Open,2023-03-17T23:55:00Z,Nelson,Shipman AHQ,https://www.jobs.virginia.gov/jobs/maintenance-operator-shipman-ahq-nelson-virginia-united-states-ba8fc9d8-2788-45ca-a88c-9905baa5afe0,2023-03-04
Deputy Clerk - Agency only - Chesapeake,Supreme Court,Full-Time (Salaried),NA,"negotiable to $37,252",Agency Employee Only - A,Closed,2023-03-06T13:00:00Z,Chesapeake,Chesapeake General District Ct,https://www.jobs.virginia.gov/jobs/deputy-clerk-agency-only-chesapeake-chesapeake-virginia-united-states,2023-03-04
Transportation Operator,VA Department of Transportation,Full-Time (Salaried),NA,"$34,660 - $44,500",General Public - G,Closing soon,2023-03-12T23:55:00Z,Hampton,Hampton Roads Harbor Tunnels,https://www.jobs.virginia.gov/jobs/transportation-operator-hampton-virginia-united-states,2023-03-04
Enterprise Architect,VA Information Tech Agency,Full-Time (Salaried),NA,"Negotiable to $120,000",General Public - G,Open,NA,Richmond,VA Information Technologies,https://www.jobs.virginia.gov/jobs/enterprise-architect-richmond-virginia-united-states,2023-03-04
Customer Account Manager (CAM),VA Information Tech Agency,Full-Time (Salaried),NA,"Negotiable to $120,000",General Public - G,Open,2023-03-13T23:55:00Z,Richmond,VA Information Technologies,https://www.jobs.virginia.gov/jobs/customer-account-manager-cam-richmond-virginia-united-states,2023-03-04
RN Unit Manager,Department of Veterans Services,Full-Time (Salaried),NA,"$80,000 - $95,000",General Public - G,Open,2023-03-16T23:55:00Z,Roanoke,Virginia Veterans Care Center,https://www.jobs.virginia.gov/jobs/rn-unit-manager-roanoke-virginia-united-states,2023-03-04
Office Services Specialist: Bland Correctional Center #00264,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$31,200 - $41,576",General Public - G,Closing soon,2023-03-10T23:55:00Z,Bland,Bland Correctional Center,https://www.jobs.virginia.gov/jobs/office-services-specialist-bland-correctional-center-00264-bland-virginia-united-states,2023-03-04
Corrections Lieutenant (Shift Comdr): Central Virginia Correctional Unit 13 #13057,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$51,240 - $89,223",Agency Employee Only - A,Open,2023-03-17T23:55:00Z,Chesterfield,Central VA Corr Unit 13,https://www.jobs.virginia.gov/jobs/corrections-lieutenant-shift-comdr-central-virginia-correctional-unit-13-13057-chesterfield-virginia-united-states,2023-03-04
Meat and Poultry Inspector (Rockingham Co) #01096,Agriculture & Consumer Svcs,Full-Time (Salaried),4,"Up to $55,000 annually. Excellent State Benefits",General Public - G,Open,2023-03-13T23:55:00Z,Rockingham,HARRISONBURG LAB-OFFICE,https://www.jobs.virginia.gov/jobs/meat-and-poultry-inspector-rockingham-co-01096-rockingham-virginia-united-states,2023-03-04
Business & Economic Development Navigator,Virginia Employment Commission,Full-Time (Salaried),NA,"$46,200 - $51,700 annually",Agency Employee Only - A,Closing soon,2023-03-12T23:55:00Z,"Amelia
  Brunswick
  Charles City
  Chesterfield
  Colonial Heights
  Dinwiddie
  Emporia
  Goochland
  Greensville
  Hanover
  Henrico
  Hopewell
  Lunenburg
  Mecklenburg
  New Kent
  Nottoway
  Powhatan
  Prince George
  Richmond
  Surry
  Sussex

            Amelia
  Brunswick
  Charles City",VEC CENTRAL OFFICE,https://www.jobs.virginia.gov/jobs/business-economic-development-navigator-accomac-virginia-united-states-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-bla,2023-03-04
Agency Procurement Spec Senior,Department of Health,Full-Time (Salaried),NA,"$60,000 - $75,000",General Public - G,Closing soon,2023-03-10T23:55:00Z,Richmond,VDH-Central Office,https://www.jobs.virginia.gov/jobs/agency-procurement-spec-senior-richmond-virginia-united-states,2023-03-04
Protective Services Hotline Specialist,Department of Social Services,Full-Time (Salaried),NA,"$51,000 - $56,000 (Commensurate with experience)",General Public - G,Closed,2023-03-08T23:55:00Z,Richmond,Dept of Social Services,https://www.jobs.virginia.gov/jobs/protective-services-hotline-specialist-richmond-virginia-united-states,2023-03-04
Corrections Officer: Pocahontas St Correctional Center #00373,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,Tazewell,Pocahontas State Corr Ctr,https://www.jobs.virginia.gov/jobs/corrections-officer-pocahontas-st-correctional-center-00373-tazewell-virginia-united-states,2023-03-04
Public Health Nurse Supervisor,Department of Health,Full-Time (Salaried),NA,"$80,000 - $87,000",General Public - G,Closing soon,2023-03-10T23:55:00Z,Richmond,Dept of Health,https://www.jobs.virginia.gov/jobs/public-health-nurse-supervisor-richmond-virginia-united-states-37ec382e-0b26-4333-993f-8b5d48956df4,2023-03-04
Management Analyst Senior #W4310,Department of Social Services,Full-Time (Salaried),NA,"$66,049-$80,000 (salary commensurate w/experience)",General Public - G,Closing soon,2023-03-10T23:55:00Z,Richmond,DSS HOME OFFICE,https://www.jobs.virginia.gov/jobs/management-analyst-senior-w4310-richmond-virginia-united-states,2023-03-04
Maintenance Operator,VA Department of Transportation,Full-Time (Salaried),2,"$35,489 - $57,669",General Public - G,Closing soon,2023-03-10T23:55:00Z,Hanover,Hanover County,https://www.jobs.virginia.gov/jobs/maintenance-operator-hanover-virginia-united-states,2023-03-04
Food Operations Assistant Director: Lunenburg Correctional Center #00042,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$43,890 - $64,909",General Public - G,Open,2023-03-17T23:55:00Z,Lunenburg,Lunenburg Correctional Center,https://www.jobs.virginia.gov/jobs/food-operations-assistant-director-lunenburg-correctional-center-00042-lunenburg-virginia-united-states-048a356b-603b-4e6b-b2e5-de624a4b64bb,2023-03-04
Casework Counselor: State Farm Work Center #02013,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000 - $60,675",General Public - G,Open,2023-03-17T23:55:00Z,Goochland,State Farm Work Center,https://www.jobs.virginia.gov/jobs/casework-counselor-state-farm-work-center-02013-goochland-virginia-united-states,2023-03-04
Unit Manager: Buckingham Correctional Center #00535,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$53,352 - $83,329",Agency Employee Only - A,Open,2023-03-17T23:55:00Z,Buckingham,Buckingham Correctional Center,https://www.jobs.virginia.gov/jobs/unit-manager-buckingham-correctional-center-00535-buckingham-virginia-united-states,2023-03-04
Maintenance Technician,Frontier Culture Museum of VA,Full-Time (Salaried),NA,"32,500",General Public - G,Open,2023-03-17T23:55:00Z,"Augusta County
  Charlottesville
  Clifton Forge
  Harrisonburg
  Highland
  Lexington
  Nelson
  Rockbridge County
  Rockingham
  Staunton

            Augusta County
  Charlottesville
  Clifton Forge",Frontier Culture Museum of Va,https://www.jobs.virginia.gov/jobs/maintenance-technician-augusta-county-virginia-united-states-charlottesville-clifton-forge-harrisonburg-highland-lexington-nelson-rockbridge-county-rockingham-staunton,2023-03-04
Real Pay for Real Jobs EPIC Project Vocational Rehabilitation Counselor (Capitol District) - #ARS00125,Department for Aging & Rehab Svcs,Full-Time (Salaried),4,Commensurate with Experience,General Public - G,Open,NA,Henrico,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/real-pay-for-real-jobs-epic-project-vocational-rehabilitation-counselor-capitol-district-ars00125-henrico-virginia-united-states,2023-03-04
PeopleSoft Developer - 00022,Department of General Services,"Faculty (Salaried)
              Full-Time (Salaried)",NA,"$85,000 - $100,000",General Public - G,Open,NA,Richmond,Monroe Building,https://www.jobs.virginia.gov/jobs/peoplesoft-developer-00022-richmond-virginia-united-states,2023-03-04
Administrative Office Specialist,Marine Resources Commission,Full-Time (Salaried),NA,"$29,772 – $35,000",General Public - G,Open,2023-04-02T23:55:00Z,"Outside of State
  Washington
  Prince Georges
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte County
  Charlotte Court House
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Frederick County
  Fredericksburg
  Galax
  Giles
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  North Chesterfield
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise
  Wythe
  York

            Outside of State
  Washington
  Prince Georges",main location,https://www.jobs.virginia.gov/jobs/administrative-office-specialist-accomac-virginia-united-states-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-bland-bote,2023-03-06
Office Services Supervisor Sr.,Department of Health,Full-Time (Salaried),NA,"$29,772-$45,000",General Public - G,Open,2023-03-20T23:55:00Z,"Brunswick
  Charlotte County
  Emporia
  Halifax
  Lunenburg
  Mecklenburg
  South Boston

            Brunswick
  Charlotte County
  Emporia",Mecklenburg County Territory,https://www.jobs.virginia.gov/jobs/office-services-supervisor-sr-brunswick-virginia-united-states-charlotte-county-emporia-halifax-lunenburg-mecklenburg-south-boston,2023-03-06
Right of Way Agent,VA Department of Transportation,Full-Time (Salaried),NA,"$72,000 - $100,000",General Public - G,Open,2023-03-27T23:55:00Z,"Fairfax
  Fredericksburg",NOVA District Office,https://www.jobs.virginia.gov/jobs/right-of-way-agent-fairfax-virginia-united-states-fredericksburg,2023-03-06
Forensic Evidence Specialist I - Central Laboratory - CF623,Department of Forensic Science,Full-Time (Salaried),3,"$31,745 - $40,482",General Public - G,Open,2023-03-13T23:55:00Z,Richmond,Dept of Forensic Science,https://www.jobs.virginia.gov/jobs/forensic-evidence-specialist-i-central-laboratory-cf623-richmond-virginia-united-states,2023-03-06
Farm Manager: State Farm Correctional Center #01581,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$45,486 - $70,958",General Public - G,Open,2023-03-31T23:55:00Z,Goochland,State Farm Work Center,https://www.jobs.virginia.gov/jobs/farm-manager-state-farm-correctional-center-01581-goochland-virginia-united-states,2023-03-06
Tractor Trailer Driver: State Farm Correctional Center #01554,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$43,995 - $55,037",General Public - G,Open,NA,Goochland,State Farm Work Center,https://www.jobs.virginia.gov/jobs/tractor-trailer-driver-state-farm-correctional-center-01554-goochland-virginia-united-states,2023-03-06
Environmental Health Specialist Sr.,Department of Health,Full-Time (Salaried),NA,"$41,475 - $53,478",General Public - G,Open,2023-03-17T23:55:00Z,Petersburg,CRATER HQ,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-sr-petersburg-virginia-united-states-674b5c0c-430b-4a20-9493-a58ba0c911ff,2023-03-06
Investigator,Indigent Defense Commission,Full-Time (Salaried),NA,"$52,757.00 + State Benefits",General Public - G,Open,2023-03-31T23:55:00Z,Charlottesville,CHARLOTTESVILLE 320,https://www.jobs.virginia.gov/jobs/investigator-charlottesville-virginia-united-states,2023-03-06
NRO - P1126 - Office & Administrative Support,Department of Environmental Quality,Full-Time (Salaried),3,"$36,000 - 55,000",General Public - G,Open,2023-03-20T23:55:00Z,Prince William,Northern Regional Office,https://www.jobs.virginia.gov/jobs/nro-p1126-office-administrative-support-prince-william-virginia-united-states,2023-03-06
Maintenance Supervisor – Brosville AHQ,VA Department of Transportation,Full-Time (Salaried),NA,"$41,886 - $68,065",General Public - G,Open,2023-03-17T23:55:00Z,Danville,Brosville AHQ,https://www.jobs.virginia.gov/jobs/maintenance-supervisor-brosville-ahq-danville-virginia-united-states,2023-03-06
Inventory IMS Program Supervisor,VA Department of Transportation,Full-Time (Salaried),NA,"$56,891 - $92,448",General Public - G,Open,2023-03-17T23:55:00Z,Richmond,Old Hwy. Building,https://www.jobs.virginia.gov/jobs/inventory-ims-program-supervisor-richmond-virginia-united-states,2023-03-06
IT Specialist,Department of Veterans Services,Full-Time (Salaried),NA,"$60,000-$70,000",General Public - G,Open,NA,Virginia Beach,J&C VCC,https://www.jobs.virginia.gov/jobs/it-specialist-virginia-beach-virginia-united-states,2023-03-06
Orientation & Mobility Specialist (Sign on Bonus) - #BVI00127,Department for Blind/Vision Impaired,Full-Time (Salaried),4,"Salary range $47,476 - $87,831 ($10,000 Sign on Bonus)",General Public - G,Open,NA,Staunton,Blind & Vision Impaired,https://www.jobs.virginia.gov/jobs/orientation-mobility-specialist-sign-on-bonus-bvi00127-staunton-virginia-united-states,2023-03-06
Deputy Economist,Department of Taxation,Full-Time (Salaried),NA,"Commensurate with experience up to $166,000",General Public - G,Open,2023-03-19T23:55:00Z,Richmond,Main Street Center,https://www.jobs.virginia.gov/jobs/deputy-economist-richmond-virginia-united-states,2023-03-06
Trade Representative,Virginia Employment Commission,Full-Time (Salaried),NA,"$42,000 - $47,000 annually",Agency Employee Only - A,Open,2023-03-19T23:55:00Z,"Washington
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte County
  Charlotte Court House
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Frederick County
  Fredericksburg
  Galax
  Giles
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  North Chesterfield
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise
  Wythe
  York

            Washington
  Accomac
  Albemarle County",VEC CENTRAL OFFICE,https://www.jobs.virginia.gov/jobs/trade-representative-accomac-virginia-united-states-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-bland-botetourt-county,2023-03-06
